410,-0.28,0.24,10.07,-0.00,-0.03,0.02
446,-0.31,0.28,10.07,-0.00,-0.04,0.02
481,-0.27,0.17,10.12,-0.00,-0.03,0.02
517,-0.26,0.24,9.89,-0.01,-0.04,0.02
551,-0.31,0.24,10.20,-0.01,-0.03,0.02
587,-0.28,0.30,10.11,0.00,-0.03,0.02
622,-0.30,0.20,10.04,-0.00,-0.03,0.02
658,-0.26,0.18,10.13,-0.01,-0.03,0.02
698,-0.23,0.16,10.10,-0.00,-0.03,0.02
739,-0.31,0.19,10.01,-0.00,-0.03,0.02
780,-0.28,0.19,10.07,-0.00,-0.02,0.02
820,-0.26,0.18,10.10,-0.00,-0.03,0.02
861,-0.31,0.18,10.09,-0.00,-0.02,0.02
901,-0.29,0.19,10.06,-0.00,-0.02,0.02
942,-0.28,0.22,10.08,-0.01,-0.03,0.02
983,-0.32,0.22,10.09,-0.01,-0.02,0.02
1022,-0.30,0.21,10.12,-0.00,-0.02,0.02
1064,-0.32,0.22,10.10,-0.00,-0.02,0.02
1106,-0.32,0.19,10.09,-0.00,-0.02,0.02
1147,-0.32,0.19,10.08,0.00,-0.02,0.02
1188,-0.36,0.21,10.08,0.00,-0.02,0.02
1228,-0.35,0.20,10.06,-0.00,-0.02,0.02
1270,-0.35,0.19,10.09,0.00,-0.02,0.02
1311,-0.38,0.18,10.12,0.01,-0.02,0.02
1351,-0.37,0.21,10.07,0.01,-0.02,0.02
1392,-0.39,0.21,10.07,0.00,-0.02,0.02
1432,-0.39,0.19,10.09,0.00,-0.02,0.02
1473,-0.40,0.17,10.06,0.00,-0.02,0.02
1514,-0.40,0.18,10.06,0.00,-0.02,0.02
1554,-0.40,0.17,10.06,0.00,-0.02,0.02
1595,-0.42,0.18,10.10,0.01,-0.02,0.02
1636,-0.42,0.21,10.09,0.01,-0.02,0.02
1676,-0.41,0.19,10.08,0.01,-0.03,0.02
1717,-0.41,0.18,10.09,0.01,-0.03,0.02
1757,-0.42,0.18,10.06,0.01,-0.03,0.02
1798,-0.41,0.19,10.07,0.01,-0.03,0.02
1839,-0.43,0.18,10.07,0.01,-0.03,0.02
1879,-0.42,0.18,10.10,0.01,-0.03,0.02
1920,-0.40,0.20,10.06,0.01,-0.03,0.02
1959,-0.39,0.17,10.08,0.01,-0.03,0.02
2000,-0.40,0.19,10.06,0.01,-0.03,0.02
2041,-0.40,0.19,10.09,0.01,-0.03,0.02
2081,-0.39,0.19,10.07,0.01,-0.03,0.02
2122,-0.39,0.19,10.07,0.01,-0.04,0.02
2162,-0.37,0.19,10.08,0.01,-0.03,0.02
2203,-0.37,0.19,10.09,0.01,-0.04,0.02
2244,-0.36,0.20,10.07,0.01,-0.04,0.02
2284,-0.37,0.19,10.08,0.01,-0.04,0.02
2325,-0.34,0.19,10.06,0.01,-0.04,0.02
2365,-0.36,0.21,10.10,0.01,-0.04,0.02
