410,-0.45,-1.72,10.21,-0.45,0.05,-0.00
446,-0.47,-1.75,10.29,-0.46,0.05,-0.02
481,-0.54,-1.74,10.21,-0.46,0.06,-0.02
517,-0.57,-1.73,10.18,-0.45,0.05,-0.01
551,-0.46,-1.80,10.20,-0.46,0.05,-0.01
587,-0.55,-1.86,10.29,-0.44,0.05,-0.01
625,-0.53,-1.80,10.14,-0.43,0.04,-0.00
667,-0.47,-1.79,10.08,-0.41,0.04,-0.01
709,-0.50,-1.75,10.02,-0.40,0.04,-0.00
750,-0.48,-1.81,9.97,-0.38,0.04,0.00
790,-0.48,-1.87,9.96,-0.34,0.04,0.01
829,-0.51,-1.78,9.94,-0.30,0.02,0.01
869,-0.37,-1.81,9.73,-0.26,0.01,0.01
909,-0.50,-1.79,9.68,-0.20,-0.02,0.01
949,-0.48,-1.93,9.77,-0.18,-0.01,0.03
990,-0.43,-1.95,9.64,-0.14,-0.03,0.02
1030,-0.46,-1.93,9.69,-0.07,-0.02,0.03
1072,-0.34,-1.90,9.54,-0.01,-0.03,0.03
1114,-0.45,-2.16,9.60,0.05,-0.03,0.03
1154,-0.34,-1.62,9.77,0.11,-0.04,-0.02
1196,-0.48,-1.85,9.78,0.15,-0.06,0.03
1236,-0.35,-1.74,9.69,0.17,-0.07,0.03
1276,-0.40,-1.65,9.73,0.14,-0.05,0.01
1317,-0.49,-1.51,9.63,0.17,-0.07,0.00
1357,-0.39,-1.71,9.90,0.18,-0.10,0.01
1398,-0.43,-1.99,9.94,0.25,-0.08,0.04
1439,-0.46,-1.84,9.98,0.33,-0.10,0.05
1479,-0.40,-1.84,10.10,0.36,-0.10,0.05
1521,-0.36,-1.77,9.84,0.36,-0.09,0.05
1561,-0.39,-1.87,9.94,0.36,-0.09,0.04
1602,-0.55,-1.98,10.22,0.39,-0.11,0.04
1644,-0.45,-2.05,10.32,0.46,-0.12,0.05
1685,-0.36,-1.91,10.25,0.50,-0.12,0.05
1727,-0.46,-1.97,10.19,0.54,-0.12,0.06
1769,-0.32,-1.84,10.02,0.52,-0.11,0.06
1810,-0.57,-1.86,10.35,0.52,-0.12,0.06
1852,-0.48,-1.69,10.44,0.50,-0.13,0.08
1893,-0.44,-1.69,10.08,0.47,-0.12,0.08
1935,-0.40,-1.94,10.06,0.45,-0.10,0.06
1977,-0.56,-2.16,10.44,0.46,-0.08,0.05
2018,-0.28,-1.10,10.32,0.44,-0.10,-0.01
2061,-0.46,-1.41,10.15,0.38,-0.10,0.03
2103,-0.34,-1.43,9.81,0.33,-0.07,0.03
2143,-0.44,-1.35,9.84,0.23,-0.07,0.01
2184,-0.53,-1.61,9.94,0.18,-0.07,0.02
2224,-0.46,-1.39,10.10,0.15,-0.06,0.04
2266,-0.50,-1.18,10.13,0.12,-0.05,0.03
2308,-0.49,-1.67,9.89,0.10,-0.03,0.11
2348,-0.54,-1.45,9.84,0.02,-0.06,0.07
2388,-0.41,-1.56,9.76,-0.01,-0.04,0.05
2429,-0.45,-1.61,9.91,-0.01,-0.01,0.05
2471,-0.54,-1.89,10.09,0.01,0.00,0.08
2512,-0.49,-1.65,9.59,-0.02,0.01,0.02
2552,-0.57,-1.67,9.81,-0.11,0.05,-0.01
2594,-0.53,-1.56,10.33,-0.19,0.05,-0.01
2637,-0.55,-1.44,10.08,-0.24,0.03,-0.01
2679,-0.59,-1.60,9.91,-0.29,0.03,-0.00
2721,-0.60,-1.57,9.98,-0.35,0.04,-0.01
2762,-0.67,-1.51,10.41,-0.40,0.04,-0.01
2805,-0.56,-1.65,10.21,-0.42,0.05,-0.01
2848,-0.51,-1.68,10.04,-0.45,0.03,-0.00
2890,-0.72,-2.29,10.21,-0.48,0.04,-0.04
2933,-0.62,-1.54,10.27,-0.41,0.05,-0.08
2976,-0.47,-1.60,10.53,-0.43,0.04,-0.06
3018,-0.38,-1.58,10.28,-0.43,0.04,-0.01
3061,-0.64,-1.58,10.18,-0.44,0.05,-0.01
3104,-0.50,-1.53,10.37,-0.47,0.06,-0.05
3146,-0.40,-1.56,10.31,-0.46,0.02,-0.03
3189,-0.31,-1.44,9.95,-0.47,0.02,-0.05
3231,-0.47,-1.50,10.12,-0.46,0.03,-0.02
3273,-0.21,-1.70,10.02,-0.43,0.02,-0.07
3316,-0.43,-1.75,10.07,-0.42,0.01,-0.04
3358,-0.40,-1.78,9.82,-0.38,0.01,-0.00
3400,-0.34,-2.14,9.68,-0.36,-0.01,-0.03
3443,-0.32,-1.91,9.94,-0.25,-0.00,-0.01
3485,-0.21,-1.86,9.84,-0.16,-0.00,0.03
3527,-0.25,-1.75,9.78,-0.11,0.00,0.02
3568,-0.31,-1.75,9.64,-0.08,-0.01,0.03
3609,-0.34,-1.77,9.48,-0.09,-0.01,0.05
3651,-0.51,-1.83,9.77,-0.00,-0.03,-0.02
3693,-0.27,-1.62,9.56,-0.01,-0.01,-0.00
3736,-0.41,-1.81,9.94,0.11,-0.05,0.03
3777,-0.39,-1.86,9.78,0.17,-0.07,0.03
3817,-0.48,-2.09,9.64,0.15,-0.08,0.03
3858,-0.26,-1.74,9.54,0.17,-0.08,0.11
3899,-0.42,-2.21,9.72,0.14,-0.06,0.00
3939,-0.17,-1.46,9.51,-0.31,0.21,-0.24
3981,-0.57,-1.91,10.72,0.31,-0.04,-0.01
4023,-0.49,-1.77,10.13,0.66,-0.18,0.05
4065,-0.29,-1.56,9.73,0.46,-0.11,0.04
4106,-0.44,-1.89,10.09,0.43,-0.10,0.04
4147,-0.54,-2.09,10.08,0.45,-0.13,0.06
4189,-0.28,-2.13,10.15,0.51,-0.14,0.06
4231,-0.45,-1.72,10.37,0.56,-0.14,0.04
4272,-0.40,-1.74,10.15,0.61,-0.16,0.00
4314,-0.39,-1.70,10.42,0.44,-0.10,-0.06
4356,-0.35,-1.68,10.29,0.62,-0.16,0.00
4398,-0.23,-2.10,10.25,0.45,-0.11,0.01
4440,-0.43,-1.67,10.28,0.53,-0.09,0.03
4481,-0.42,-1.78,10.31,0.47,-0.09,0.05
4523,-0.47,-2.25,10.10,0.39,-0.08,0.03
4564,-0.23,-1.24,10.20,0.45,-0.10,0.01
4605,-0.37,-1.76,9.89,0.39,-0.05,0.13
4646,-0.24,-1.96,10.25,0.32,-0.06,0.23
4687,-0.57,-1.46,10.18,0.33,-0.07,0.14
4729,-0.54,-1.37,10.06,0.37,-0.03,0.06
4771,-0.37,-0.90,9.59,0.25,-0.01,0.11
4811,-0.23,-1.08,9.34,0.08,-0.03,0.14
4852,-0.35,-2.05,9.95,-0.03,-0.01,0.06
4893,-0.56,-1.59,10.15,-0.10,-0.02,0.02
4936,-0.55,-1.78,10.23,-0.19,0.05,0.01
4978,-0.58,-1.82,10.12,-0.02,-0.03,0.02
5020,-0.53,-1.82,9.83,-0.07,-0.05,0.02
5062,-0.42,-1.78,10.06,-0.12,-0.04,0.01
5105,-0.49,-1.72,9.88,-0.13,-0.01,0.03
5146,-0.44,-1.68,9.95,-0.23,-0.00,0.04
5188,-0.45,-1.69,9.85,-0.25,-0.01,0.04
5230,-0.48,-1.82,9.83,-0.36,0.01,0.03
5270,-0.54,-1.94,10.20,-0.39,0.05,0.02
5312,-0.67,-1.87,10.39,-0.39,0.04,0.01
5353,-0.52,-1.96,10.25,-0.40,0.03,-0.01
5396,-0.53,-1.84,10.13,-0.42,0.03,-0.03
5439,-0.57,-1.84,10.25,-0.46,0.04,-0.01
